,moviename,director,leadactors,screenwriter,picture,averating,numrating,description,typelist,backpost,movieId,title,genres,showyear,ratings_count,backpost-origin
0,Toy Story,John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette,Sherry Lynn",,http://image.tmdb.org/t/p/w185/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,3.9,67537.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Animation,Comedy,Family",http://106.12.12.171/dji4Fm0gCDVb9DQQMRvAI8YNnTz.jpg,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995-10-30,62987,http://image.tmdb.org/t/p/w780/dji4Fm0gCDVb9DQQMRvAI8YNnTz.jpg
1,Jumanji,Joe Johnston,"Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy,James Handy,Gillian Barber,Brandon Obray,Cyrus Thiedeke,Gary Joseph Thorup,Leonard Zola,Lloyd Berry,Malcolm Stewart,Annabel Kershaw,Darryl Henriques,Robyn Driscoll,Peter Bryant,Sarah Gilson,Florica Vlad,June Lion,Brenda Lockmuller,Frederick Richardson,Frank Welker,Jaysen Clough,Daniel Olsen,Falko Schilling,David Szehi,Tom Woodruff Jr.",,http://image.tmdb.org/t/p/w185/8wBKXZNod4frLZjAKSDuAcQ2dEU.jpg,3.2,26694.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","Adventure,Fantasy,Family",http://106.12.12.171/7k4zEgUZbzMHawDaMc9yIkmY1qR.jpg,2,Jumanji (1995),Adventure|Children|Fantasy,1995-12-15,26641,http://image.tmdb.org/t/p/w780/7k4zEgUZbzMHawDaMc9yIkmY1qR.jpg
2,Grumpier Old Men,Howard Deutch,"Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Daryl Hannah,Burgess Meredith,Kevin Pollak",,http://image.tmdb.org/t/p/w185/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,3.2,15551.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","Romance,Comedy",http://106.12.12.171/1ENbkuIYK2taNGGKNMs2hw6SaJb.jpg,3,Grumpier Old Men (1995),Comedy|Romance,1995-12-22,13964,http://image.tmdb.org/t/p/w780/1ENbkuIYK2taNGGKNMs2hw6SaJb.jpg
3,Father of the Bride Part II,Charles Shyer,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Lori Alan",,http://image.tmdb.org/t/p/w185/e64sOI48hQXyru7naBFyssKFxVd.jpg,3.1,15401.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Comedy,http://106.12.12.171/cZs50rEk4T13qWedon0uCnbYQzW.jpg,5,Father of the Bride Part II (1995),Comedy,1995-02-10,13854,http://image.tmdb.org/t/p/w780/cZs50rEk4T13qWedon0uCnbYQzW.jpg
4,Heat,Michael Mann,"Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Natalie Portman,Ted Levine,Tom Noonan,Tone Loc,Hank Azaria,Wes Studi,Dennis Haysbert,Danny Trejo,Henry Rollins,William Fichtner,Kevin Gage,Susan Traylor,Jerry Trimble,Ricky Harris,Jeremy Piven,Xander Berkeley,Begonya Plaza,Rick Avery,Hazelle Goodman,Ray Buktenica,Max Daniels,Vince Deadrick Jr.,Steven Ford,Farrah Forke,Patricia Healy,Paul Herman,Cindy Katz,Brian Libby,Dan Martin,Mario Roberts,Thomas Rosales, Jr.,Yvonne Zima,Mick Gould,Bud Cort,Viviane Vives,Kim Staunton,Martin Ferrero,Brad Baldridge,Andrew Camuccio,Kenny Endoso,Kimberly Flynn,Niki Harris,Bill McIntosh,Rick Marzan,Terry Miller,Daniel O'Haco,Kai Soremekun,Peter Blackwell,Trevor Coppola,Mary Kircher,Darin Mangan,Robert Miranda,Manny Perry,Iva Franks Singer,Tim Werner,Philip Ettington",,http://image.tmdb.org/t/p/w185/zMyfPUelumio3tiDKPffaUpsQTD.jpg,3.8,28315.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","Action,Crime,Drama,Thriller",http://106.12.12.171/jMzVSwQp1lLVq9fnQQ4yOjr1YZ2.jpg,6,Heat (1995),Action|Crime|Thriller,1995-12-15,27322,http://image.tmdb.org/t/p/w780/jMzVSwQp1lLVq9fnQQ4yOjr1YZ2.jpg
5,Sabrina,Sydney Pollack,"Harrison Ford,Julia Ormond,Greg Kinnear,Angie Dickinson,Nancy Marchand,John Wood,Richard Crenna,Lauren Holly,Dana Ivey,Fanny Ardant,Patrick Bruel,Paul Giamatti,Miriam Colón,Elizabeth Franz,Valérie Lemercier,Becky Ann Baker,John C. Vennema,Margo Martindale,J. Smith-Cameron,Christine Luneau-Lipton,Michael Dees,Denis Holmes,Jo-Jo Lowe,Ira Wheeler,Philippa Cooper,Ayako Kawahara,François Genty,Guillaume Gallienne,Inés Sastre,Phina Oruche,Andrea Behalikova,Jennifer Herrera,Kristina Kumlin,Eva Linderholm,Carmen Chaplin,Micheline Van de Velde,Joanna Rhodes,Alan Boone,Patrick Forster-Delmas,Kentaro Matsuo,Peter McKernan,Ed Connelly,Ronald L. Schwary,Alvin Lum,Siching Song,Phil Nee,Randy Becker,Susan Browning,Anthony Mondal,Peter Parks,Woodrow Asai,Eric Bruno Borgman,Michael Cline,Christopher Del Gaudio,Philippe Hartmann,Jerry Quinn,Dori Rosenthal",,http://image.tmdb.org/t/p/w185/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,3.4,15235.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","Comedy,Romance",http://106.12.12.171/qKKLKFkSlIjhUCHoF7N8VuvIZU6.jpg,7,Sabrina (1995),Comedy|Romance,1995-12-15,14134,http://image.tmdb.org/t/p/w780/qKKLKFkSlIjhUCHoF7N8VuvIZU6.jpg
6,Sudden Death,Peter Hyams,"Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger,Whittni Wright",,http://image.tmdb.org/t/p/w185/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,3.0,4442.0,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","Action,Adventure,Thriller",http://106.12.12.171/y6A4PUAD61r15CgtuuQhWxLh6Vx.jpg,9,Sudden Death (1995),Action,1995-10-27,4231,http://image.tmdb.org/t/p/w780/y6A4PUAD61r15CgtuuQhWxLh6Vx.jpg
7,GoldenEye,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Gottfried John,Robbie Coltrane,Alan Cumming,Tchéky Karyo,Desmond Llewelyn,Samantha Bond,Michael Kitchen,Serena Gordon,Simon Kunz,Billy J. Mitchell,Constantine Gregory,Minnie Driver,Michelle Arthur,Ravil Isyanov,Trevor Byfield",,http://image.tmdb.org/t/p/w185/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,3.4,32866.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"Adventure,Action,Thriller",http://106.12.12.171/x2Lu6BbsC3talJxcIxtkXVkrQmK.jpg,10,GoldenEye (1995),Action|Adventure|Thriller,1995-11-16,32248,http://image.tmdb.org/t/p/w780/x2Lu6BbsC3talJxcIxtkXVkrQmK.jpg
8,Dracula: Dead and Loving It,Mel Brooks,"Leslie Nielsen,Mel Brooks,Amy Yasbeck,Peter MacNicol,Lysette Anthony,Harvey Korman,Steven Weber,Mark Blankfield,Megan Cavanagh,Gregg Binkley,Anne Bancroft,Clive Revill,Chuck McCann,Avery Schreiber,Cherie Franklin,Ezio Greggio,Leslie Sachs,Rudy De Luca,Darla Haun,Karen Roe,Charlie Callas,Maud Winchester,Kathleen Kane",,http://image.tmdb.org/t/p/w185/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,2.7,4503.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","Comedy,Horror",http://106.12.12.171/y7N276seR43H31xvDbWMWxEsDr.jpg,12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995-12-22,4260,http://image.tmdb.org/t/p/w780/y7N276seR43H31xvDbWMWxEsDr.jpg
9,Sense and Sensibility,Ang Lee,"Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman,Imogen Stubbs,Greg Wise,Hugh Laurie,Imelda Staunton,Robert Hardy,Oliver Ford Davies,James Fleet,Harriet Walter,Gemma Jones,Emilie François,Elizabeth Spriggs,Richard Lumsden",,http://image.tmdb.org/t/p/w185/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,4.0,24452.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","Drama,Romance",http://106.12.12.171/ocn3pLKJjYmXIP2331pUNC33f5M.jpg,17,Sense and Sensibility (1995),Drama|Romance,1995-12-13,22563,http://image.tmdb.org/t/p/w780/ocn3pLKJjYmXIP2331pUNC33f5M.jpg
